state_abbr,name,district,unique_key,year,logrecno,summary_level,county,total_population,white_population,black_population,american_indian_population,asian_population,native_hawaiian_population,other_race_population,two_or_more_races_population,total_adult_pop,region,metro_status,district_1,total_population_2000,total_population_2010,total_population_2020,2000-2010_Growth_Rate,2010-2020_Growth_Rate
AK,Congressional District (at Large),0.0,2000-AK-2,2000,2,500,,626932,434534,21787,98043,25116,3309,9997,34146,436215,West,,0,626932,710231,733391,13.2867679429348,3.2609108867396666
AL,Congressional District 1,1.0,2000-AL-2,2000,2,500,,646181,439439,184842,6234,6376,156,2593,6541,473589,South,,1,646181,687841,726276,6.447110020257482,5.587773918681789
AL,Congressional District 2,2.0,2000-AL-3,2000,3,500,,650321,450643,181983,2872,4361,258,3298,6906,484902,South,,2,650321,673877,693466,3.6222111849378997,2.906910311525694
AL,Congressional District 3,3.0,2000-AL-4,2000,4,500,,643525,466996,162845,1840,3373,193,3039,5239,485760,South,,3,643525,681298,735132,5.869702031778097,7.901681789760135
AL,Congressional District 4,4.0,2000-AL-5,2000,5,500,,643275,580621,40552,4228,1365,213,9271,7025,487312,South,,4,643275,660162,702982,2.6251603124635654,6.4862866993253165
AL,Congressional District 5,5.0,2000-AL-6,2000,6,500,,654886,523196,106237,4689,6431,290,4499,9544,492008,South,,5,654886,718724,761102,9.747956132823116,5.896282856840735
AL,Congressional District 6,6.0,2000-AL-7,2000,7,500,,664795,545995,98754,1709,8128,198,4490,5521,506474,South,,6,664795,754482,740710,13.490925774110815,-1.8253583253145866
AL,Congressional District 7,7.0,2000-AL-8,2000,8,500,,544117,155918,380717,858,1312,101,1808,3403,393633,South,,7,544117,603352,664611,10.886445378475585,10.15311128495472
AR,Congressional District 1,1.0,2000-AR-2,2000,2,500,,629974,503826,111801,2391,2117,128,3285,6426,465654,South,,1,629974,687694,716388,9.162282887865214,4.172495324955576
AR,Congressional District 2,2.0,2000-AR-3,2000,3,500,,666058,510454,129918,3006,6070,242,7599,8769,498497,South,,2,666058,751377,769391,12.80954511468971,2.3974649210715793
AR,Congressional District 3,3.0,2000-AR-4,2000,4,500,,764853,694857,14015,9645,9796,1136,21293,14111,570416,South,,3,764853,822564,839147,7.545371463536131,2.0160133436425616
AR,Congressional District 4,4.0,2000-AR-5,2000,5,500,,612515,429461,163216,2766,2237,162,8235,6438,458464,South,,4,612515,654283,686598,6.819098307796543,4.9389942884042535
AZ,Congressional District 1,1.0,2000-AZ-2,2000,2,500,,829492,636059,32135,16769,25597,1569,91282,26081,615559,West,,1,829492,774310,760850,-6.652505388840399,-1.738321860753445
AZ,Congressional District 2,2.0,2000-AZ-3,2000,3,500,,773824,431950,39457,34130,7456,949,231161,28721,524152,West,,2,773824,972839,744478,25.718380406914232,-23.473668304827417
AZ,Congressional District 3,3.0,2000-AZ-4,2000,4,500,,997565,824080,25285,25836,13381,1020,82954,25009,745754,West,,3,997565,707919,777554,-29.035300957832323,9.836577348538462
AZ,Congressional District 4,4.0,2000-AZ-5,2000,5,500,,735344,599716,22803,13085,17686,965,59979,21110,549822,West,,4,735344,698314,804323,-5.035738375508606,15.18070667350218
AZ,Congressional District 5,5.0,2000-AZ-6,2000,6,500,,793256,651053,24233,9915,16526,1137,66324,24068,609106,West,,5,793256,656833,881025,-17.19785289994655,34.132268019420465
AZ,Congressional District 6,6.0,2000-AZ-7,2000,7,500,,1001151,730753,14960,156144,11590,1093,65074,21537,719292,West,,6,1001151,971733,785858,-2.938417881018947,-19.128196737169574
CA,Congressional District 1,1.0,2000-CA-2,2000,2,500,,644525,493670,29579,18169,23239,2196,48005,29667,481501,West,,1,644525,704012,701955,9.229587680850239,-0.2921825196161429
CA,Congressional District 10,10.0,2000-CA-11,2000,11,500,,713341,550714,26546,3762,66014,1835,33121,31349,524388,West,,10,713341,714750,767919,0.1975212415941324,7.438824763903462
CA,Congressional District 11,11.0,2000-CA-12,2000,12,500,,684178,413201,45326,7456,74985,2404,99461,41345,474553,West,,11,684178,796753,767877,16.45405143106034,-3.6242097613689563
CA,Congressional District 12,12.0,2000-CA-13,2000,13,500,,615370,325829,16916,2283,190408,5848,42002,32084,489853,West,,12,615370,651322,771010,5.842338755545444,18.376164170717402
CA,Congressional District 13,13.0,2000-CA-14,2000,14,500,,678177,301517,49859,4404,204371,6223,69579,42224,502576,West,,13,678177,665318,780382,-1.8961126667521901,17.29458694939863
CA,Congressional District 14,14.0,2000-CA-15,2000,15,500,,615917,399586,19609,2433,116321,4656,49960,23352,478160,West,,14,615917,653935,746621,6.172584942451661,14.173579942960693
CA,Congressional District 15,15.0,2000-CA-16,2000,16,500,,612416,425446,13140,3274,107748,1687,32898,28223,468919,West,,15,612416,677605,796711,10.644561866443725,17.57749721445385
CA,Congressional District 16,16.0,2000-CA-17,2000,17,500,,689817,284724,24893,6854,185327,2935,149706,35378,498832,West,,16,689817,676880,751432,-1.8754249315398142,11.014064531379269
CA,Congressional District 17,17.0,2000-CA-18,2000,18,500,,653209,399832,17737,6913,32725,2166,162061,31775,474693,West,,17,653209,664240,783151,1.6887397448596086,17.901812597856196
CA,Congressional District 18,18.0,2000-CA-19,2000,19,500,,683642,444450,21038,8447,33430,1975,137129,37173,464495,West,,18,683642,723607,749621,5.845895951389762,3.5950453768412967
CA,Congressional District 19,19.0,2000-CA-20,2000,20,500,,709622,451696,31858,12476,50880,1012,127458,34242,495974,West,,19,709622,757337,747877,6.724002356183996,-1.2491136706644468
CA,Congressional District 2,2.0,2000-CA-3,2000,3,500,,633808,547215,10010,15087,15713,925,21687,23171,476300,West,,2,633808,708596,718939,11.799787948400779,1.4596469638552858
CA,Congressional District 20,20.0,2000-CA-21,2000,21,500,,711574,305708,41860,11348,33122,780,286644,32112,467474,West,,20,711574,744350,744847,4.606126699401608,0.06676966480822194
CA,Congressional District 21,21.0,2000-CA-22,2000,22,500,,666684,454059,30093,10562,20209,1063,122184,28514,458797,West,,21,666684,784176,712137,17.62334179311338,-9.186585664442676
CA,Congressional District 22,22.0,2000-CA-23,2000,23,500,,631659,488546,14112,6984,22546,961,73425,25085,482472,West,,22,631659,797084,787793,26.18897221443849,-1.1656236983805972
CA,Congressional District 23,23.0,2000-CA-24,2000,24,500,,642427,429936,13500,6576,33797,1553,130326,26739,457564,West,,23,642427,695404,776733,8.246384414104638,11.695216018314532
CA,Congressional District 24,24.0,2000-CA-25,2000,25,500,,629832,475467,18202,3046,49149,795,55774,27399,478404,West,,24,629832,681622,740273,8.222827674681502,8.60462250338164
CA,Congressional District 25,25.0,2000-CA-26,2000,26,500,,699526,471217,55148,5326,53397,1151,81102,32185,489348,West,,25,699526,844320,753744,20.698873237020496,-10.727686185332576
CA,Congressional District 26,26.0,2000-CA-27,2000,27,500,,660224,306142,33473,6425,43256,950,232030,37948,452499,West,,26,660224,691452,721287,4.729909848778596,4.31483313375332
CA,Congressional District 27,27.0,2000-CA-28,2000,28,500,,600986,375640,39470,3044,79560,597,61394,41281,459520,West,,27,600986,684496,708732,13.895498397633222,3.5407073233444755
CA,Congressional District 28,28.0,2000-CA-29,2000,29,500,,609233,346565,29276,4304,117918,918,83386,26866,446716,West,,28,609233,660194,712964,8.364779977447052,7.993105056998398
CA,Congressional District 29,29.0,2000-CA-30,2000,30,500,,584823,447102,19588,1982,57577,573,31377,26624,503514,West,,29,584823,642138,711122,9.80040114701371,10.74286212620963
CA,Congressional District 3,3.0,2000-CA-4,2000,4,500,,675618,494541,25519,8941,43185,2178,66780,34474,487453,West,,3,675618,783317,762214,15.940812707772736,-2.6940561739372435
CA,Congressional District 30,30.0,2000-CA-31,2000,31,500,,582745,202416,17518,6077,114294,666,209572,32202,418700,West,,30,582745,662319,747695,13.655029215179882,12.890465168597007
CA,Congressional District 31,31.0,2000-CA-32,2000,32,500,,600376,209329,7569,6755,169467,615,181449,25192,424002,West,,31,600376,611336,756466,1.8255226724585925,23.739809204758103
CA,Congressional District 32,32.0,2000-CA-33,2000,33,500,,586031,186534,193019,4122,45477,902,126417,29560,434580,West,,32,586031,642236,705027,9.590789565739696,9.776935581312788
CA,Congressional District 33,33.0,2000-CA-34,2000,34,500,,600695,225821,23642,7220,26979,626,287242,29165,402348,West,,33,600695,637122,724041,6.0641423684232425,13.642442106849236
CA,Congressional District 34,34.0,2000-CA-35,2000,35,500,,617343,289324,11887,7641,55070,1184,221993,30244,426184,West,,34,617343,654303,703417,5.98694728862237,7.5063082394548095
CA,Congressional District 35,35.0,2000-CA-36,2000,36,500,,607944,139274,210243,4777,26074,2470,198046,27060,397996,West,,35,607944,662413,739576,8.959542326266893,11.64877500894457
CA,Congressional District 36,36.0,2000-CA-37,2000,37,500,,591448,399125,23256,3086,90314,2236,45742,27689,462970,West,,36,591448,659385,764753,11.486555031042458,15.979738695906034
CA,Congressional District 37,37.0,2000-CA-38,2000,38,500,,616103,151364,159427,5250,50871,8047,212866,28278,393231,West,,37,616103,648847,722177,5.314695757040624,11.3015857359285
CA,Congressional District 38,38.0,2000-CA-39,2000,39,500,,634392,330527,68131,5420,56643,4344,136657,32670,454592,West,,38,634392,641410,706443,1.1062560688028853,10.139068614458772
CA,Congressional District 39,39.0,2000-CA-40,2000,40,500,,622921,369558,19097,4407,114916,1932,86190,26821,454549,West,,39,622921,643115,732569,3.241823602029792,13.909487416713961
CA,Congressional District 4,4.0,2000-CA-5,2000,5,500,,725180,636119,11411,8059,19597,1164,25210,23620,543403,West,,4,725180,774261,768333,6.7681127444220754,-0.7656332941992429
CA,Congressional District 40,40.0,2000-CA-41,2000,41,500,,674431,484981,44227,10483,23614,1969,76640,32517,474902,West,,40,674431,665653,690211,-1.3015415958044634,3.6893095952395614
