state,growth_rate_2000_2020
Alabama,12.98
Alaska,16.98
Arizona,39.39
Arkansas,12.65
California,16.73
Colorado,34.23
Connecticut,5.88
Delaware,26.33
District of Columbia,20.54
Florida,34.76
Georgia,30.85
Hawaii,20.12
Idaho,42.13
Illinois,3.17
Indiana,11.6
Iowa,9.02
Kansas,9.28
Kentucky,11.48
Louisiana,4.22
Maine,6.86
Maryland,16.63
Massachusetts,10.72
Michigan,1.4
Minnesota,16.0
Mississippi,4.1
Missouri,10.0
Montana,20.18
Nebraska,14.62
Nevada,55.37
New Hampshire,11.47
New Jersey,10.39
New Mexico,16.41
New York,6.45
North Carolina,29.69
North Dakota,21.32
Ohio,3.93
Oklahoma,14.74
Oregon,23.85
Pennsylvania,5.88
Puerto Rico,-13.73
Rhode Island,4.68
South Carolina,27.58
South Dakota,17.46
Tennessee,21.47
Texas,39.77
Utah,46.5
Vermont,5.63
Virginia,21.94
Washington,30.73
West Virginia,-0.81
Wisconsin,9.88
Wyoming,16.82
